#{"t_start": 0, "env_id": 0}
r,l,t
-994.560096,0.03333333333333333,80.706642
-978.909629,0.08333333333333333,80.743532
-999.777024,0.016666666666666666,80.754172
-999.777979,0.016666666666666666,80.764092
-999.780048,0.016666666666666666,80.773749
-999.781162,0.016666666666666666,80.783456
-952.810665,0.16666666666666666,80.842426
-989.330913,0.05,80.862878
-999.781003,0.016666666666666666,80.872663
-989.346987,0.05,80.898023
-994.558822,0.03333333333333333,80.913929
-999.780366,0.016666666666666666,80.923965
-999.777024,0.016666666666666666,80.933759
-999.778775,0.016666666666666666,80.943476
-963.280967,0.13333333333333333,80.991311
-968.502829,0.11666666666666665,81.034811
-994.554684,0.03333333333333333,81.049944
-989.336961,0.05,81.071061
-999.778775,0.016666666666666666,81.081124
-999.778934,0.016666666666666666,81.090911
-999.776865,0.016666666666666666,81.101418
-999.778615,0.016666666666666666,81.111306
-903.442757,0.35,81.229365
-999.778775,0.016666666666666666,81.239011
-999.781321,0.016666666666666666,81.248657
-952.802229,0.16666666666666666,81.321476
-999.777024,0.016666666666666666,81.331249
-829.925657,1.5999999999999992,81.857944
-994.555639,0.03333333333333333,81.873169
-999.780844,0.016666666666666666,81.882946
-797.883405,3.049999999999994,85.703729
-999.776865,0.016666666666666666,85.713598
-999.77957,0.016666666666666666,85.723302
-921.513711,0.26666666666666666,85.82248
-836.237424,1.1333333333333342,86.21047
-763.479511,2.7666666666666617,86.924322
-937.169588,0.21666666666666665,86.962815
-844.758486,1.4666666666666663,87.212139
-994.556913,0.03333333333333333,87.220175
-994.555003,0.03333333333333333,87.227942
-999.777024,0.016666666666666666,87.233097
-999.781799,0.016666666666666666,87.238264
-999.779889,0.016666666666666666,87.243388
-999.780366,0.016666666666666666,87.248456
-999.777024,0.016666666666666666,87.253585
-999.780844,0.016666666666666666,87.258722
-905.563078,0.3333333333333333,87.31782
-952.806686,0.16666666666666666,87.348405
-958.016134,0.15,87.376298
-994.5593,0.03333333333333333,87.384253
-743.589994,2.8499999999999948,89.798223
